2024-10-05 12:12:27 | Felipe Barbosa | AlphaTauri | 110.103
2024-10-05 15:36:04 | Gabriel Souza | Alpine | 110.243
2024-10-05 16:49:55 | Marcos Costa | McLaren | 110.243
2024-10-05 17:34:52 | Gabriel Souza | AlphaTauri | 110.244
2024-10-05 12:31:46 | Gabriel Souza | AlphaTauri | 110.245
2024-10-05 11:47:11 | José Ferreira | Mercedes | 110.249
2024-10-05 14:59:11 | Lucas Silva | Haas | 110.253
2024-10-05 14:15:31 | Carlos Andrade | Ferrari | 110.255
2024-10-05 15:30:00 | Leonardo Almeida | McLaren | 110.255
2024-10-05 12:06:24 | Rafael Rocha | Haas | 110.257
2024-10-05 18:41:38 | Pedro Oliveira | Aston Martin | 110.259
2024-10-05 10:46:18 | Carlos Andrade | Ferrari | 110.26
2024-10-05 18:44:40 | Leonardo Almeida | Alpine | 110.263
2024-10-05 15:28:35 | Carlos Andrade | McLaren | 110.272
2024-10-05 11:41:33 | Rafael Rocha | Williams | 110.272
2024-10-05 16:30:31 | Rafael Rocha | Ferrari | 110.273
2024-10-05 13:26:19 | Leonardo Almeida | Alpine | 110.275
2024-10-05 14:18:37 | Vinícius Pereira | Alfa Romeo | 110.275
2024-10-05 17:36:35 | Pedro Oliveira | Williams | 110.277
2024-10-05 14:03:08 | Pedro Oliveira | McLaren | 110.283
2024-10-05 12:49:41 | Thiago Mendes | Red Bull Racing | 110.287
2024-10-05 10:26:13 | Felipe Barbosa | Haas | 110.294
2024-10-05 15:36:37 | Lucas Silva | Red Bull Racing | 110.3
2024-10-05 16:37:48 | Gabriel Souza | Red Bull Racing | 110.301
2024-10-05 13:19:13 | Carlos Andrade | Red Bull Racing | 110.302
2024-10-05 13:37:25 | Fernando Silva | AlphaTauri | 110.305
2024-10-05 13:24:50 | Rafael Rocha | Aston Martin | 110.305
2024-10-05 11:05:19 | Rafael Rocha | Alpine | 110.305
2024-10-05 10:12:48 | Rafael Rocha | Aston Martin | 110.309
2024-10-05 10:54:22 | Thiago Mendes | Aston Martin | 110.309
2024-10-05 15:51:39 | Fernando Silva | Williams | 110.311
2024-10-05 11:06:49 | Marcos Costa | AlphaTauri | 110.312
2024-10-05 14:39:28 | Pedro Oliveira | McLaren | 110.312
2024-10-05 18:20:07 | Rafael Rocha | Williams | 110.313
2024-10-05 14:34:45 | Pedro Oliveira | Red Bull Racing | 110.323
2024-10-05 11:49:56 | Pedro Oliveira | Mercedes | 110.324
2024-10-05 11:02:52 | Thiago Mendes | Haas | 110.326
2024-10-05 16:46:58 | Pedro Oliveira | Williams | 110.328
2024-10-05 13:19:36 | Carlos Andrade | AlphaTauri | 110.33
2024-10-05 11:38:57 | Carlos Andrade | Ferrari | 110.336
2024-10-05 17:51:05 | Lucas Silva | Ferrari | 110.339
2024-10-05 18:52:17 | Rafael Rocha | Red Bull Racing | 110.341
2024-10-05 10:17:28 | Felipe Barbosa | AlphaTauri | 110.343
2024-10-05 14:13:10 | Leonardo Almeida | Haas | 110.347
2024-10-05 11:31:37 | Leonardo Almeida | Alpine | 110.352
2024-10-05 12:08:33 | Marcos Costa | Red Bull Racing | 110.355
2024-10-05 15:47:54 | José Ferreira | Red Bull Racing | 110.358
2024-10-05 13:12:01 | Lucas Silva | Alfa Romeo | 110.358
2024-10-05 15:34:43 | Thiago Mendes | Mercedes | 110.358
2024-10-05 14:03:58 | Gabriel Souza | McLaren | 110.359
2024-10-05 17:05:31 | Marcos Costa | Aston Martin | 110.36
2024-10-05 11:33:43 | Vinícius Pereira | McLaren | 110.363
2024-10-05 16:24:20 | Lucas Silva | Haas | 110.367
2024-10-05 17:16:00 | Lucas Silva | Mercedes | 110.367
2024-10-05 18:42:10 | Felipe Barbosa | Mercedes | 110.369
2024-10-05 15:16:52 | José Ferreira | McLaren | 110.372
2024-10-05 11:13:24 | Rafael Rocha | Haas | 110.381
2024-10-05 13:27:44 | Thiago Mendes | McLaren | 110.381
2024-10-05 10:48:41 | Vinícius Pereira | McLaren | 110.381
2024-10-05 17:07:41 | Vinícius Pereira | McLaren | 110.388
2024-10-05 14:43:07 | Fernando Silva | AlphaTauri | 110.394
2024-10-05 18:18:56 | Carlos Andrade | Mercedes | 110.395
2024-10-05 13:21:22 | Marcos Costa | Alpine | 110.403
2024-10-05 13:57:47 | Thiago Mendes | Aston Martin | 110.405
2024-10-05 15:17:42 | Pedro Oliveira | Alpine | 110.407
2024-10-05 16:45:57 | Fernando Silva | Ferrari | 110.408
2024-10-05 13:30:37 | Marcos Costa | Ferrari | 110.408
2024-10-05 14:13:55 | Fernando Silva | Mercedes | 110.409
2024-10-05 11:58:37 | Gabriel Souza | Alpine | 110.412
2024-10-05 10:52:51 | Felipe Barbosa | Williams | 110.413
2024-10-05 12:31:28 | José Ferreira | Alpine | 110.414
2024-10-05 14:01:09 | Marcos Costa | Aston Martin | 110.414
2024-10-05 11:11:21 | Pedro Oliveira | Red Bull Racing | 110.42
2024-10-05 18:25:16 | Gabriel Souza | Haas | 110.424
2024-10-05 17:41:07 | Leonardo Almeida | McLaren | 110.426
2024-10-05 14:04:52 | Pedro Oliveira | McLaren | 110.429
2024-10-05 13:35:34 | Pedro Oliveira | Ferrari | 110.43
2024-10-05 18:28:46 | Carlos Andrade | Williams | 110.432
2024-10-05 13:51:54 | Rafael Rocha | Alfa Romeo | 110.434
2024-10-05 16:04:12 | Lucas Silva | Williams | 110.437
2024-10-05 10:39:53 | Vinícius Pereira | Haas | 110.437
2024-10-05 13:39:12 | Rafael Rocha | Aston Martin | 110.443
2024-10-05 11:09:50 | Marcos Costa | Alpine | 110.444
2024-10-05 14:50:50 | Marcos Costa | Alfa Romeo | 110.445
2024-10-05 18:11:37 | José Ferreira | AlphaTauri | 110.448
2024-10-05 14:18:23 | Leonardo Almeida | Alpine | 110.451
2024-10-05 15:19:32 | Carlos Andrade | Alpine | 110.452
2024-10-05 14:35:25 | Marcos Costa | Haas | 110.452
2024-10-05 17:46:31 | Gabriel Souza | Alfa Romeo | 110.456
2024-10-05 11:42:26 | Leonardo Almeida | AlphaTauri | 110.458
2024-10-05 13:04:01 | Leonardo Almeida | McLaren | 110.459
2024-10-05 11:00:38 | Thiago Mendes | Ferrari | 110.459
2024-10-05 17:15:46 | Leonardo Almeida | Ferrari | 110.461
2024-10-05 11:35:03 | Thiago Mendes | Red Bull Racing | 110.463
2024-10-05 16:13:09 | Vinícius Pereira | Haas | 110.463
2024-10-05 17:19:23 | José Ferreira | Williams | 110.464
2024-10-05 16:01:30 | Fernando Silva | Red Bull Racing | 110.466
2024-10-05 15:32:33 | Leonardo Almeida | McLaren | 110.47
2024-10-05 13:56:18 | Fernando Silva | Alpine | 110.471
2024-10-05 11:49:05 | Leonardo Almeida | Alfa Romeo | 110.471
2024-10-05 10:06:54 | Felipe Barbosa | Ferrari | 110.472
2024-10-05 11:01:49 | Vinícius Pereira | Mercedes | 110.474
2024-10-05 16:34:16 | Leonardo Almeida | Alfa Romeo | 110.475
2024-10-05 14:09:07 | Rafael Rocha | Aston Martin | 110.476
2024-10-05 17:26:55 | Thiago Mendes | Aston Martin | 110.48
2024-10-05 17:22:39 | Leonardo Almeida | Alpine | 110.483
2024-10-05 18:43:38 | Rafael Rocha | Haas | 110.484
2024-10-05 17:44:37 | Felipe Barbosa | McLaren | 110.485
2024-10-05 11:48:13 | Thiago Mendes | Williams | 110.485
2024-10-05 10:08:28 | Vinícius Pereira | Alfa Romeo | 110.485
2024-10-05 12:21:28 | Lucas Silva | McLaren | 110.487
2024-10-05 14:01:39 | Felipe Barbosa | Aston Martin | 110.488
2024-10-05 12:42:27 | Leonardo Almeida | Williams | 110.488
2024-10-05 18:16:30 | Carlos Andrade | Alpine | 110.49
2024-10-05 17:59:35 | Marcos Costa | Alfa Romeo | 110.49
2024-10-05 18:40:04 | Thiago Mendes | Alfa Romeo | 110.491
2024-10-05 11:12:45 | Vinícius Pereira | Aston Martin | 110.492
2024-10-05 16:23:07 | José Ferreira | Haas | 110.494
2024-10-05 12:48:09 | Marcos Costa | Aston Martin | 110.494
2024-10-05 18:30:44 | Marcos Costa | Haas | 110.494
2024-10-05 12:45:20 | Lucas Silva | Alpine | 110.496
2024-10-05 17:02:04 | Fernando Silva | AlphaTauri | 110.498
2024-10-05 17:07:06 | Leonardo Almeida | Haas | 110.5
2024-10-05 18:16:33 | Vinícius Pereira | Mercedes | 110.505
2024-10-05 15:48:27 | Lucas Silva | Haas | 110.51
2024-10-05 18:57:37 | Gabriel Souza | AlphaTauri | 110.511
2024-10-05 18:26:59 | Fernando Silva | Williams | 110.512
2024-10-05 11:03:12 | Felipe Barbosa | Haas | 110.514
2024-10-05 13:25:56 | Rafael Rocha | AlphaTauri | 110.516
2024-10-05 18:48:43 | Marcos Costa | Aston Martin | 110.522
2024-10-05 16:51:49 | Thiago Mendes | Haas | 110.522
2024-10-05 15:08:01 | Marcos Costa | Aston Martin | 110.526
2024-10-05 13:28:00 | Carlos Andrade | Alfa Romeo | 110.527
2024-10-05 14:57:02 | Leonardo Almeida | Alpine | 110.529
2024-10-05 13:00:41 | Pedro Oliveira | Red Bull Racing | 110.532
2024-10-05 11:32:52 | Carlos Andrade | Red Bull Racing | 110.536
2024-10-05 16:31:54 | Leonardo Almeida | McLaren | 110.536
2024-10-05 17:00:28 | Felipe Barbosa | Alfa Romeo | 110.537
2024-10-05 10:09:32 | Leonardo Almeida | Red Bull Racing | 110.537
2024-10-05 12:56:22 | Rafael Rocha | Haas | 110.54
2024-10-05 12:18:44 | Pedro Oliveira | Alpine | 110.544
2024-10-05 13:42:47 | Pedro Oliveira | Alpine | 110.547
2024-10-05 13:35:27 | Felipe Barbosa | Alfa Romeo | 110.549
2024-10-05 11:44:55 | Rafael Rocha | Mercedes | 110.55
2024-10-05 13:45:45 | Lucas Silva | Aston Martin | 110.555
2024-10-05 13:59:26 | Felipe Barbosa | Aston Martin | 110.56
2024-10-05 16:01:04 | Lucas Silva | McLaren | 110.56
2024-10-05 16:23:30 | Marcos Costa | Mercedes | 110.563
2024-10-05 10:45:45 | Felipe Barbosa | Alfa Romeo | 110.565
2024-10-05 15:03:55 | Leonardo Almeida | Haas | 110.565
2024-10-05 15:50:25 | Thiago Mendes | McLaren | 110.566
2024-10-05 18:44:23 | Carlos Andrade | AlphaTauri | 110.567
2024-10-05 16:24:22 | Lucas Silva | Red Bull Racing | 110.569
2024-10-05 18:48:16 | Vinícius Pereira | AlphaTauri | 110.569
2024-10-05 16:37:47 | Felipe Barbosa | McLaren | 110.571
2024-10-05 11:23:53 | José Ferreira | AlphaTauri | 110.572
2024-10-05 18:00:33 | Vinícius Pereira | Williams | 110.577
2024-10-05 18:25:53 | Gabriel Souza | Williams | 110.579
2024-10-05 16:29:07 | José Ferreira | Alfa Romeo | 110.579
2024-10-05 11:51:36 | Fernando Silva | McLaren | 110.58
2024-10-05 14:56:14 | José Ferreira | Alpine | 110.58
2024-10-05 17:41:58 | Carlos Andrade | Ferrari | 110.581
2024-10-05 13:27:58 | Thiago Mendes | Haas | 110.582
2024-10-05 15:37:03 | Vinícius Pereira | Haas | 110.582
2024-10-05 13:08:08 | Vinícius Pereira | Haas | 110.583
2024-10-05 16:45:06 | Pedro Oliveira | Red Bull Racing | 110.587
2024-10-05 11:10:23 | Marcos Costa | AlphaTauri | 110.595
2024-10-05 11:01:28 | Vinícius Pereira | Alfa Romeo | 110.596
2024-10-05 17:52:25 | Felipe Barbosa | Red Bull Racing | 110.598
2024-10-05 17:05:58 | Pedro Oliveira | Alfa Romeo | 110.601
2024-10-05 17:32:28 | Vinícius Pereira | Alpine | 110.601
2024-10-05 15:16:02 | Gabriel Souza | Haas | 110.602
2024-10-05 16:06:36 | Marcos Costa | AlphaTauri | 110.605
2024-10-05 17:38:29 | Felipe Barbosa | Mercedes | 110.608
2024-10-05 18:46:30 | Leonardo Almeida | Ferrari | 110.609
2024-10-05 17:08:50 | Gabriel Souza | Aston Martin | 110.62
2024-10-05 10:02:59 | Rafael Rocha | Alpine | 110.62
2024-10-05 11:39:17 | Carlos Andrade | Alfa Romeo | 110.621
2024-10-05 12:32:31 | Pedro Oliveira | Williams | 110.622
2024-10-05 17:25:20 | Thiago Mendes | AlphaTauri | 110.623
2024-10-05 18:16:52 | Leonardo Almeida | Red Bull Racing | 110.627
2024-10-05 18:15:21 | Gabriel Souza | Alfa Romeo | 110.629
2024-10-05 11:44:59 | Thiago Mendes | Aston Martin | 110.631
2024-10-05 14:05:50 | Felipe Barbosa | Ferrari | 110.632
2024-10-05 13:46:43 | Marcos Costa | Alfa Romeo | 110.638
2024-10-05 18:56:58 | Carlos Andrade | Haas | 110.642
2024-10-05 10:58:27 | José Ferreira | Aston Martin | 110.642
2024-10-05 10:43:19 | Pedro Oliveira | Williams | 110.647
2024-10-05 17:15:29 | Fernando Silva | Alpine | 110.652
2024-10-05 14:34:22 | Rafael Rocha | Alfa Romeo | 110.656
2024-10-05 10:29:34 | Thiago Mendes | Alpine | 110.657
2024-10-05 18:32:13 | Fernando Silva | AlphaTauri | 110.658
2024-10-05 16:14:47 | Carlos Andrade | Williams | 110.66
2024-10-05 11:54:33 | Carlos Andrade | Aston Martin | 110.662
2024-10-05 16:02:39 | Carlos Andrade | Alpine | 110.663
2024-10-05 18:37:21 | José Ferreira | Mercedes | 110.663
2024-10-05 14:06:49 | Rafael Rocha | AlphaTauri | 110.664
2024-10-05 10:43:59 | José Ferreira | McLaren | 110.665
2024-10-05 18:04:24 | Carlos Andrade | McLaren | 110.666
2024-10-05 13:39:48 | Leonardo Almeida | Red Bull Racing | 110.667
2024-10-05 17:03:33 | Fernando Silva | McLaren | 110.671
2024-10-05 12:03:03 | Leonardo Almeida | Williams | 110.672
2024-10-05 11:32:54 | Leonardo Almeida | Haas | 110.672
2024-10-05 18:34:48 | Marcos Costa | Aston Martin | 110.674
2024-10-05 11:20:49 | José Ferreira | Mercedes | 110.676
2024-10-05 14:11:23 | Gabriel Souza | Ferrari | 110.678
2024-10-05 17:13:34 | José Ferreira | Haas | 110.678
2024-10-05 15:02:00 | Vinícius Pereira | McLaren | 110.679
2024-10-05 10:42:33 | Gabriel Souza | Red Bull Racing | 110.681
2024-10-05 17:37:36 | Marcos Costa | AlphaTauri | 110.684
2024-10-05 13:09:10 | Marcos Costa | Aston Martin | 110.686
2024-10-05 14:54:11 | Thiago Mendes | AlphaTauri | 110.692
2024-10-05 14:28:47 | Leonardo Almeida | AlphaTauri | 110.694
2024-10-05 15:06:57 | Thiago Mendes | AlphaTauri | 110.694
2024-10-05 12:55:10 | Lucas Silva | Red Bull Racing | 110.695
2024-10-05 16:42:22 | Felipe Barbosa | McLaren | 110.696
2024-10-05 18:57:24 | Gabriel Souza | Mercedes | 110.696
2024-10-05 15:08:44 | Rafael Rocha | Alpine | 110.698
2024-10-05 12:01:29 | José Ferreira | Mercedes | 110.702
2024-10-05 11:52:42 | Felipe Barbosa | Red Bull Racing | 110.705
2024-10-05 10:39:11 | Felipe Barbosa | AlphaTauri | 110.706
2024-10-05 17:24:20 | Lucas Silva | Williams | 110.708
2024-10-05 15:08:06 | Rafael Rocha | Aston Martin | 110.708
2024-10-05 10:33:47 | Gabriel Souza | Alfa Romeo | 110.712
2024-10-05 11:51:06 | José Ferreira | Mercedes | 110.712
2024-10-05 14:59:07 | Fernando Silva | Ferrari | 110.716
2024-10-05 18:21:38 | Thiago Mendes | Alpine | 110.716
2024-10-05 17:32:32 | Thiago Mendes | Williams | 110.716
2024-10-05 11:34:25 | Fernando Silva | Williams | 110.718
2024-10-05 10:24:41 | Thiago Mendes | Aston Martin | 110.718
2024-10-05 14:01:07 | Rafael Rocha | McLaren | 110.722
2024-10-05 18:17:52 | José Ferreira | Alpine | 110.724
2024-10-05 13:37:22 | Lucas Silva | Ferrari | 110.731
2024-10-05 18:19:47 | Thiago Mendes | Red Bull Racing | 110.732
2024-10-05 11:16:57 | Fernando Silva | Red Bull Racing | 110.734
2024-10-05 12:10:53 | Marcos Costa | McLaren | 110.734
2024-10-05 11:37:08 | Thiago Mendes | Alfa Romeo | 110.738
2024-10-05 11:44:53 | Felipe Barbosa | Mercedes | 110.739
2024-10-05 16:49:38 | Marcos Costa | Alpine | 110.742
2024-10-05 10:06:30 | Pedro Oliveira | Alpine | 110.743
2024-10-05 12:49:48 | Fernando Silva | McLaren | 110.75
2024-10-05 17:44:04 | Lucas Silva | Williams | 110.75
2024-10-05 16:05:05 | Marcos Costa | Mercedes | 110.75
2024-10-05 15:29:56 | Thiago Mendes | Aston Martin | 110.753
2024-10-05 17:40:14 | Pedro Oliveira | Aston Martin | 110.754
2024-10-05 12:46:27 | Gabriel Souza | AlphaTauri | 110.756
2024-10-05 12:42:26 | Felipe Barbosa | Red Bull Racing | 110.759
2024-10-05 16:56:29 | Leonardo Almeida | AlphaTauri | 110.759
2024-10-05 18:54:38 | Marcos Costa | Mercedes | 110.759
2024-10-05 18:04:04 | Marcos Costa | Aston Martin | 110.761
2024-10-05 11:38:09 | José Ferreira | McLaren | 110.763
2024-10-05 15:06:29 | Thiago Mendes | Ferrari | 110.764
2024-10-05 10:25:29 | Rafael Rocha | McLaren | 110.766
2024-10-05 15:41:31 | José Ferreira | Aston Martin | 110.768
2024-10-05 12:55:53 | Carlos Andrade | Williams | 110.772
2024-10-05 18:44:41 | Carlos Andrade | Mercedes | 110.772
2024-10-05 14:47:29 | Felipe Barbosa | Alpine | 110.772
2024-10-05 16:47:15 | Lucas Silva | Ferrari | 110.774
2024-10-05 13:22:51 | Lucas Silva | Aston Martin | 110.775
2024-10-05 13:50:17 | Carlos Andrade | Ferrari | 110.781
2024-10-05 14:14:02 | Fernando Silva | Alfa Romeo | 110.783
2024-10-05 16:47:47 | Pedro Oliveira | Haas | 110.784
2024-10-05 15:54:37 | Marcos Costa | AlphaTauri | 110.786
2024-10-05 11:44:46 | Vinícius Pereira | AlphaTauri | 110.787
2024-10-05 12:00:28 | Gabriel Souza | Red Bull Racing | 110.788
2024-10-05 16:17:30 | Leonardo Almeida | Aston Martin | 110.79
2024-10-05 12:22:42 | Rafael Rocha | Haas | 110.793
2024-10-05 15:31:01 | Rafael Rocha | Aston Martin | 110.793
2024-10-05 16:47:49 | Vinícius Pereira | Haas | 110.793
2024-10-05 15:29:18 | Felipe Barbosa | Ferrari | 110.794
2024-10-05 14:14:47 | Pedro Oliveira | Williams | 110.798
2024-10-05 11:18:31 | Fernando Silva | Mercedes | 110.799
2024-10-05 18:04:41 | Marcos Costa | Aston Martin | 110.799
2024-10-05 13:03:55 | Leonardo Almeida | AlphaTauri | 110.801
2024-10-05 13:33:27 | Felipe Barbosa | Red Bull Racing | 110.802
2024-10-05 17:11:57 | Rafael Rocha | Alfa Romeo | 110.803
2024-10-05 16:26:52 | Fernando Silva | Red Bull Racing | 110.805
2024-10-05 16:33:35 | Rafael Rocha | Alpine | 110.806
2024-10-05 11:57:29 | Pedro Oliveira | Aston Martin | 110.807
2024-10-05 10:43:33 | Vinícius Pereira | Haas | 110.807
2024-10-05 11:20:47 | Rafael Rocha | Haas | 110.808
2024-10-05 11:47:47 | Vinícius Pereira | Alpine | 110.809
2024-10-05 16:31:46 | José Ferreira | Alfa Romeo | 110.81
2024-10-05 17:55:44 | Lucas Silva | Alfa Romeo | 110.811
2024-10-05 15:58:13 | Leonardo Almeida | Aston Martin | 110.812
2024-10-05 11:54:30 | Leonardo Almeida | McLaren | 110.817
2024-10-05 14:12:38 | Leonardo Almeida | Red Bull Racing | 110.82
2024-10-05 18:10:59 | Rafael Rocha | Red Bull Racing | 110.822
2024-10-05 10:43:52 | Vinícius Pereira | Ferrari | 110.828
2024-10-05 17:39:41 | Rafael Rocha | Aston Martin | 110.83
2024-10-05 17:28:26 | José Ferreira | Haas | 110.834
2024-10-05 17:37:10 | Vinícius Pereira | Ferrari | 110.841
2024-10-05 18:01:21 | Carlos Andrade | Ferrari | 110.842
2024-10-05 13:30:42 | Thiago Mendes | McLaren | 110.844
2024-10-05 15:38:14 | Pedro Oliveira | AlphaTauri | 110.847
2024-10-05 13:46:40 | Vinícius Pereira | Ferrari | 110.85
2024-10-05 12:04:35 | Felipe Barbosa | Alfa Romeo | 110.854
2024-10-05 18:09:16 | Vinícius Pereira | Williams | 110.857
2024-10-05 18:38:53 | Carlos Andrade | McLaren | 110.858
2024-10-05 14:17:48 | Pedro Oliveira | Aston Martin | 110.861
2024-10-05 14:45:52 | Carlos Andrade | Alfa Romeo | 110.862
2024-10-05 16:37:17 | Pedro Oliveira | McLaren | 110.862
2024-10-05 12:52:54 | Lucas Silva | Mercedes | 110.866
2024-10-05 17:02:09 | Leonardo Almeida | Mercedes | 110.867
2024-10-05 14:25:51 | Gabriel Souza | Aston Martin | 110.868
2024-10-05 10:07:25 | Vinícius Pereira | Haas | 110.868
2024-10-05 12:59:21 | Marcos Costa | Aston Martin | 110.869
2024-10-05 16:00:46 | Rafael Rocha | McLaren | 110.869
2024-10-05 13:59:42 | Gabriel Souza | Ferrari | 110.87
2024-10-05 18:38:45 | Rafael Rocha | Mercedes | 110.873
2024-10-05 15:15:57 | José Ferreira | Williams | 110.878
2024-10-05 18:54:20 | José Ferreira | AlphaTauri | 110.878
2024-10-05 13:15:45 | Felipe Barbosa | Red Bull Racing | 110.879
2024-10-05 15:32:58 | Pedro Oliveira | Alpine | 110.879
2024-10-05 14:38:06 | José Ferreira | Red Bull Racing | 110.88
2024-10-05 17:22:52 | Marcos Costa | Ferrari | 110.887
2024-10-05 18:59:40 | Vinícius Pereira | Williams | 110.887
2024-10-05 13:59:58 | Felipe Barbosa | Aston Martin | 110.889
2024-10-05 15:24:02 | Thiago Mendes | McLaren | 110.889
2024-10-05 14:42:56 | Carlos Andrade | McLaren | 110.89
2024-10-05 17:42:14 | Pedro Oliveira | Haas | 110.891
2024-10-05 17:14:35 | Pedro Oliveira | Aston Martin | 110.892
2024-10-05 11:53:58 | Felipe Barbosa | Aston Martin | 110.896
2024-10-05 10:54:56 | Lucas Silva | Williams | 110.896
2024-10-05 14:28:02 | Carlos Andrade | Haas | 110.897
2024-10-05 16:19:57 | Felipe Barbosa | Red Bull Racing | 110.9
2024-10-05 17:24:32 | Leonardo Almeida | Alfa Romeo | 110.9
2024-10-05 17:09:29 | Felipe Barbosa | Aston Martin | 110.902
2024-10-05 10:27:49 | Fernando Silva | Williams | 110.902
2024-10-05 18:51:56 | Pedro Oliveira | Aston Martin | 110.904
2024-10-05 15:18:25 | Thiago Mendes | McLaren | 110.904
2024-10-05 11:17:35 | Rafael Rocha | Alfa Romeo | 110.908
2024-10-05 14:33:12 | Carlos Andrade | McLaren | 110.911
2024-10-05 12:58:45 | Felipe Barbosa | Aston Martin | 110.911
2024-10-05 16:38:55 | Carlos Andrade | McLaren | 110.912
2024-10-05 12:22:37 | Fernando Silva | Mercedes | 110.912
2024-10-05 13:37:15 | Thiago Mendes | Red Bull Racing | 110.915
2024-10-05 10:06:05 | Pedro Oliveira | AlphaTauri | 110.917
2024-10-05 17:38:18 | Leonardo Almeida | Alfa Romeo | 110.919
2024-10-05 16:10:24 | Carlos Andrade | AlphaTauri | 110.922
2024-10-05 11:55:26 | Fernando Silva | Alfa Romeo | 110.922
2024-10-05 12:01:51 | Leonardo Almeida | Red Bull Racing | 110.925
2024-10-05 12:14:29 | Vinícius Pereira | Williams | 110.925
2024-10-05 17:16:42 | Pedro Oliveira | Ferrari | 110.926
2024-10-05 12:48:01 | Fernando Silva | Ferrari | 110.928
2024-10-05 11:54:06 | Fernando Silva | Ferrari | 110.931
2024-10-05 13:18:12 | Pedro Oliveira | Alfa Romeo | 110.931
2024-10-05 15:29:28 | Felipe Barbosa | Alfa Romeo | 110.935
